"","Nb_sp","Tot_weight","min_a","min_b","min_c","max_a","max_b","max_c","range_a","range_b","range_c","FIde_a","FIde_b","FIde_c","FRic","FDiv","FEve","FDis","FSpe","FOri","FRed","raoQ","Simpson"
"-270.55",24,167.7746,-2.06390839218444,-1.49388262206405,-0.95217310277482,1.74330126330142,1.62521296246528,1.45999875758806,3.80720965548586,3.11909558452933,2.41217186036288,-0.553094167894521,1.20824498687413,-0.79301524450937,0.772358,0.982081,0.575529,0.332274181062634,0.710880504598155,0.439307256451014,0.157302162603988,0.221381696853624,0.378683859457612
"-266.95",25,148.8736,-2.06390839218444,-1.49388262206405,-0.95217310277482,1.74330126330142,1.62521296246528,1.45999875758806,3.80720965548586,3.11909558452933,2.41217186036288,-0.478722522362856,0.950982501520933,-0.750274971360073,0.654472,0.943275,0.592298,0.45921761334088,0.682672952154003,0.424618815870371,0.221884302593928,0.308492823758922,0.53037712635285
"-262.45",23,154.7715,-2.06390839218444,-1.49388262206405,-0.95217310277482,1.74330126330142,1.62521296246528,1.45999875758806,3.80720965548586,3.11909558452933,2.41217186036288,-0.389702388817505,0.996550699044238,-0.777064869260521,0.48374,0.917441,0.653606,0.426407640374918,0.657811866318884,0.398326573500484,0.251825136700472,0.299036411836874,0.550861548537347
"-257.1",26,175.0502,-2.06390839218444,-1.49388262206405,-0.95217310277482,1.74330126330142,1.62521296246528,1.45999875758806,3.80720965548586,3.11909558452933,2.41217186036288,-0.548017347184431,1.03118781167252,-0.743967839255598,0.756098,0.931358,0.558007,0.414796999513263,0.683656022510417,0.427857078972197,0.203337648039553,0.277610152954694,0.480947800994248
"-253.3",23,166.9773,-2.06390839218444,-1.49388262206405,-0.95217310277482,1.74330126330142,1.62521296246528,1.45999875758806,3.80720965548586,3.11909558452933,2.41217186036288,-0.494970639128664,0.959093533174641,-0.7310656193042,0.644309,0.945848,0.584843,0.437560011160067,0.669294678696131,0.423761800039425,0.241935173669489,0.306995830885414,0.548931004554903
"-251.9",15,44.5323,-2.06390839218444,-1.49388262206405,-0.95217310277482,0.981859332204247,1.62521296246528,0.977564385515482,3.04576772438869,3.11909558452933,1.9297374882903,-1.13763382589955,-0.725918722316035,0.29133828945283,0.256098,0.935402,0.722416,0.678851498730273,0.782600665906538,0.685004999908632,0.247404370964115,0.468733746583543,0.716138117547658
"-251.3",12,65.613,-2.06390839218444,-1.49388262206405,-0.95217310277482,0.981859332204247,1.62521296246528,0.977564385515482,3.04576772438869,3.11909558452933,1.9297374882903,-1.51493745914394,-1.07722359139509,0.573456391376814,0.203252,0.95468,0.763473,0.499999141358156,0.86373639151713,0.80392210206034,0.175461870516456,0.329065588924548,0.504527459441004
"-250.05",17,105.2481,-2.06390839218444,-1.49388262206405,-0.95217310277482,0.981859332204247,1.62521296246528,0.977564385515482,3.04576772438869,3.11909558452933,1.9297374882903,-1.70540710120368,-1.19737204237346,0.744924602004663,0.296748,0.983426,0.699135,0.373004024375642,0.9214863086036,0.877438996538425,0.122169551330982,0.229901634099896,0.352071185430878
"-248.15",16,81.064,-2.06390839218444,-1.49388262206405,-0.95217310277482,1.74330126330142,1.62521296246528,0.977564385515482,3.80720965548586,3.11909558452933,1.9297374882903,-1.21654123715189,-0.74487104853893,0.240515906270571,0.304878,0.884954,0.470776,0.677443839211064,0.794971702198072,0.724842361433644,0.20065671590673,0.453830544058042,0.654487259964772
"-246.15",19,97.4561,-2.06390839218444,-1.49388262206405,-0.95217310277482,1.74330126330142,1.62521296246528,1.45999875758806,3.80720965548586,3.11909558452933,2.41217186036288,-0.840226304228965,-0.297915397633968,0.0251965676314358,0.457317,0.878644,0.658564,0.749744502691664,0.731968511527103,0.594871010359691,0.284271538078939,0.536825486416713,0.821097024495653
"-244.5",9,55.5774,-2.06390839218444,-1.49388262206405,-0.95217310277482,0.981859332204247,1.62521296246528,0.977564385515482,3.04576772438869,3.11909558452933,1.9297374882903,-1.34325716129015,-0.76991104721075,0.305745265097474,0.148374,0.890961,0.751355,0.652994931478907,0.824859715014071,0.754811878464379,0.178768716230518,0.42946677599875,0.608235492229268
"-242.85",17,68.6707,-2.06390839218444,-1.49388262206405,-0.95217310277482,1.74330126330142,1.62521296246528,1.45999875758806,3.80720965548586,3.11909558452933,2.41217186036288,-1.32295987351868,-0.717597744207715,0.420809743244429,0.597561,0.949477,0.708817,0.676825667308843,0.842258520876334,0.746682094173205,0.197378108998671,0.442636877215537,0.640014986214208
"-238.5",17,78.3884,-2.06390839218444,-1.49388262206405,-0.95217310277482,1.74330126330142,1.62521296246528,1.45999875758806,3.80720965548586,3.11909558452933,2.41217186036288,-1.31337009692697,-0.489600882492149,0.241511690762342,0.479675,0.957172,0.417671,0.741432400968239,0.843261625925529,0.733977197241254,0.17085487847909,0.458927858648887,0.629782737127978
"-233.25",11,53.8191,-2.06390839218444,-1.49388262206405,-0.95217310277482,0.981859332204247,1.62521296246528,0.977564385515482,3.04576772438869,3.11909558452933,1.9297374882903,-1.13524779099002,-0.127836161642211,0.046819793717841,0.172764,0.976194,0.565844,0.812580093287635,0.82206200954668,0.680691827964777,0.163486625741742,0.482788956915266,0.646275582657008
"-229.75",17,110.4554,-2.06390839218444,-1.49388262206405,-0.95217310277482,1.74330126330142,1.62521296246528,1.45999875758806,3.80720965548586,3.11909558452933,2.41217186036288,-1.0683763931789,0.0842382010153775,-0.0945270896455078,0.560976,0.959325,0.577783,0.797265458457541,0.798295188735228,0.636142085752198,0.227563579398768,0.506550136477833,0.734113715876601
"-224.75",16,76.0105,-2.06390839218444,-1.49388262206405,-0.95217310277482,0.981859332204247,1.62521296246528,1.45999875758806,3.04576772438869,3.11909558452933,2.41217186036288,-1.38737353997233,-0.45262038445613,0.342930301004488,0.473577,0.974256,0.623556,0.729509767362885,0.857464871722751,0.740109947507438,0.174082363020124,0.445173867056711,0.619256230076835
"-218.55",22,110.2534,-2.06390839218444,-1.49388262206405,-0.95217310277482,1.74330126330142,1.62521296246528,1.45999875758806,3.80720965548586,3.11909558452933,2.41217186036288,-1.01565998666396,0.245545857459889,-0.0663830872893496,0.831301,0.939568,0.544457,0.776149631568163,0.782935049270353,0.589687246063521,0.274685777745968,0.525465615161389,0.800151392907357
