"","com","mSimpson","mFunRao","mFRed","mFRic","mFEve","mFSpe","mFDis","mFDiv","mFOri","mTaxRich","sd.Simpson","sd.FunRao","sd.FRed","sd.FRic","sd.FEve","sd.FSpe","sd.FDis","sd.FDiv","sd.FOri","sd.TaxRich","n.FRic","se.Simpson","se.FunRao","se.FRed","se.FRic","se.FEve","se.FSpe","se.FDis","se.FDiv","se.FOri","se.TaxRich","lower.ci.Simpson","upper.ci.Simpson","lower.ci.FunRao","upper.ci.FunRao","lower.ci.FRed","upper.ci.FRed","lower.ci.FRic","upper.ci.FRic","lower.ci.FEve","upper.ci.FEve","lower.ci.FSpe","upper.ci.FSpe","lower.ci.FDis","upper.ci.FDis","lower.ci.FDiv","upper.ci.FDiv","lower.ci.FOri","upper.ci.FOri","lower.ci.TaxRich","upper.ci.TaxRich"
"1",-270.55,0.752635518032197,0.44170251958247,0.310932998449727,0.653215458,0.584921984,0.598869464621036,0.556868120168061,0.818547418,0.39464740106388,20.046,0.129455244357234,0.0834296493822279,0.0655699820849515,0.144595759174045,0.0885477403201875,0.0863631978527231,0.118489289967186,0.0953738484418475,0.0749257766220618,3.01497332131754,500,0.00578941452853243,0.0037310873471527,0.0029323787445079,0.00646651893542708,0.00395997533219877,0.00386227962305905,0.00529900213944624,0.00426524816783467,0.00335078259587789,0.134833705936287,0.741260885151378,0.764010150913016,0.434371942611177,0.449033096553763,0.305171667744885,0.31669432915457,0.640510498190188,0.665920417809812,0.577141704077243,0.592702263922757,0.591281130329399,0.606457798912673,0.546457014921784,0.567279225414338,0.810167359564799,0.826927476435201,0.388064020014949,0.401230782112812,19.7810882550512,20.3109117449488
"2",-266.95,0.760134789697815,0.446264619679821,0.313870170017994,0.653735774,0.579921648,0.598348383560179,0.560694074411067,0.818069014,0.396438166944249,19.816,0.121691380741206,0.0811023872501446,0.06061404995578,0.145731632774622,0.0914009976908889,0.0830872234917364,0.117954188053368,0.0999096112192905,0.0703666126481868,3.22349590533374,500,0.00544220399226289,0.00362700902057671,0.00271074272185384,0.00651731674712181,0.00408757688096258,0.0037157735957848,0.0052750716543625,0.00446809364583819,0.00314689058455484,0.14415911939037,0.749442331562465,0.770827247833164,0.439138528455716,0.453390710903925,0.308544294120962,0.319196045915026,0.640931010236554,0.666540537763447,0.571890665564051,0.587952630435949,0.591047893966284,0.605648873154073,0.550329986092175,0.571058162729959,0.809290419092336,0.826847608907664,0.390255378522552,0.402620955365947,19.5327663411548,20.0992336588452
"3",-262.45,0.761318030828305,0.446464745755223,0.314853285073081,0.663308956,0.579775428,0.602264814001569,0.560862345380447,0.821249492,0.396940684421122,20.154,0.127147043178108,0.0808857737738577,0.0648094067142629,0.141975885988256,0.0881818834459151,0.0844714693131555,0.113165517380411,0.0942679731402446,0.0791462182007113,2.89327255060843,500,0.00568618863368703,0.00361732177142031,0.00289836477989046,0.00634935464471002,0.00394361371538059,0.00377767895087006,0.00506091579143067,0.00421579192085422,0.00353952648117643,0.129391082011893,0.750146208897,0.77248985275961,0.439357687354254,0.453571804156193,0.309158782604227,0.320547787541936,0.650834192315734,0.675783719684266,0.57202729422669,0.58752356177331,0.594842697137079,0.609686930866059,0.55091901537971,0.570805675381185,0.812966601706809,0.829532382293191,0.389986472713375,0.403894896128869,19.8997815382395,20.4082184617605
"4",-257.1,0.764803930463091,0.447598822822763,0.317205107640328,0.644556926,0.580201206,0.60121346573462,0.561316823396706,0.820943878,0.39542357401112,19.736,0.123520785545546,0.0822420218740482,0.0616514674341412,0.148089160369253,0.0912973459958576,0.0838290878707697,0.118021431251307,0.0978883303721604,0.0693624787033559,2.85141458407236,500,0.00552401746228028,0.00367797503034793,0.00275713744190708,0.00662274858633034,0.00408294143624112,0.00374895077941688,0.0052780788615948,0.00437769921832216,0.0031019843493717,0.127519136840402,0.75395073099862,0.775657129927563,0.44037259718132,0.454825048464207,0.311788078673221,0.322622136607436,0.631545017203315,0.657568834796685,0.572179330958536,0.588223081041464,0.593847791952934,0.608579139516307,0.550946826729379,0.571686820064032,0.812342883680859,0.829544872319141,0.389329014189525,0.401518133832714,19.4854594039363,19.9865405960637
"5",-253.3,0.759975649293266,0.447153047776377,0.312822601516889,0.661642278,0.574652536,0.604012981147897,0.56393382617077,0.822482992,0.395259967711121,20.14,0.125284411205862,0.0781489338511169,0.0658420449824904,0.142970905198643,0.0918982977011514,0.0819274491522189,0.1097958325912,0.0903441413756184,0.069034644212179,3.0467960108717,500,0.00560288919954688,0.00349492656920464,0.00294454576716895,0.00639385325657687,0.00410981681352574,0.00366390691055038,0.00491021890640221,0.00404031282969468,0.00308732314521889,0.136256859877686,0.748967488208469,0.770983810378063,0.440286462826517,0.454019632726237,0.307037365905024,0.318607837128755,0.649080086585141,0.674204469414859,0.566577858114891,0.582727213885109,0.596814395554896,0.611211566740898,0.554286574769178,0.573581077572362,0.814544870634714,0.830421113365286,0.389194213188233,0.401325722234009,19.8722921426746,20.4077078573254
"6",-251.9,0.76064139646533,0.445578964437391,0.315062432027939,0.642410574,0.58778853,0.596073221482845,0.558772615235105,0.815305802,0.39688004989966,19.774,0.123401760682486,0.0815014610765658,0.0626708990651724,0.144184203437264,0.0893676170373978,0.0865097990586035,0.117999374478858,0.0979339169249721,0.0740143609549868,3.04457926910299,500,0.00551869450858401,0.00364485614465509,0.00280272781041507,0.0064481136033476,0.0039966413336558,0.0038688358282977,0.0052770924527436,0.00437973791094109,0.00331002284813113,0.136157724172018,0.749798655164433,0.771484137766228,0.438417808444065,0.452740120430717,0.309555830323878,0.320569033732,0.629741775687075,0.655079372312925,0.57993621130653,0.59564084869347,0.588472006022082,0.603674436943608,0.54840455659424,0.56914067387597,0.806700802201551,0.823910801798449,0.390376750725096,0.403383349074224,19.5064869175092,20.0415130824908
"7",-251.3,0.757877134539371,0.4447212353848,0.313155899154571,0.654613816,0.587817532,0.600364902932748,0.559670295600721,0.817529204,0.396361066967669,19.936,0.121996275907848,0.0794219169130176,0.0627718344850107,0.142753979775282,0.0936612819369729,0.0853916761389269,0.114229567485635,0.0989526887867867,0.0724019969934414,3.17175409641041,500,0.00545583931863537,0.00355185610241695,0.00280724177961699,0.0063841520567232,0.00418865986541689,0.00381883185118574,0.0051085015587656,0.00442529877367272,0.00323791573968141,0.141845155349742,0.747157886677542,0.7685963824012,0.437742799307823,0.451699671461778,0.307640428722549,0.318671369586593,0.642070684817621,0.667156947182379,0.579587948853565,0.596047115146435,0.592861931755484,0.607867874110013,0.549633472444308,0.569707118757134,0.808834689435463,0.826223718564537,0.389999438748375,0.402722695186963,19.6573126543151,20.2146873456849
"8",-250.05,0.763199613234989,0.448563732259891,0.314635880975098,0.657126016,0.580739368,0.597533810924114,0.561132407056117,0.815592684,0.392947366370686,19.898,0.128573922011671,0.0831451759890854,0.0633499514749004,0.142763334821285,0.0947379446096563,0.0820009459123604,0.119757114092698,0.0956564543015432,0.0642358539865776,3.00627200078193,500,0.00575000059503707,0.00371836531025557,0.00283309595738381,0.00638457042709912,0.00423680968391602,0.00366719378558643,0.00535570095800943,0.00427788668609706,0.00287271472213477,0.134444571052054,0.751902418067723,0.774496808402255,0.441258150648403,0.455869313871379,0.309069614080138,0.320202147870059,0.644582062833048,0.669669969166952,0.572415183489989,0.589063552510011,0.590328767511124,0.604738854337103,0.550609903974575,0.571654910137659,0.80718779429651,0.82399757370349,0.387303259324185,0.398591473417187,19.6338527997953,20.1621472002047
"9",-248.15,0.762367991972103,0.445782329136236,0.316585662835867,0.664735764,0.578461398,0.594808071274899,0.556707128486661,0.808141364,0.395635774472902,19.97,0.119963678473873,0.0804551984385449,0.0593650824582141,0.143486909209116,0.0904327324924094,0.0807217841743035,0.117746330183341,0.0983793334600086,0.0709977595466451,3.20462779095437,500,0.00536493879797018,0.00359806585703643,0.00265488719732894,0.00641692965745847,0.00404427474488163,0.00360998793357619,0.00526577596782172,0.00439965754395398,0.00317511633192966,0.143315311663179,0.751827339034881,0.772908644909325,0.438713103396207,0.452851554876264,0.311369527929518,0.321801797742216,0.652128233702091,0.677343294297909,0.570515492543502,0.586407303456498,0.587715421880691,0.601900720669107,0.546361303676325,0.567052953296997,0.799497227513113,0.816785500486887,0.389397530095754,0.401874018850049,19.6884241949968,20.2515758050032
"10",-246.15,0.762040053358328,0.447472347011628,0.314567706346701,0.6569187,0.58344443,0.598657519715578,0.560728611325231,0.815661576,0.397068876488014,20.082,0.1261647330409,0.0823999641006095,0.060389562828614,0.145194864050459,0.0900565092024367,0.0831841291685447,0.117359204942661,0.0973467287902606,0.0730047538856386,3.10782772791105,500,0.00564225838885134,0.0036850384214501,0.00270070335232551,0.00649331172001333,0.00402744952785967,0.00372010734939978,0.00524846320074238,0.00435347805924517,0.0032648718473786,0.138986281239356,0.750954542470205,0.773125564246451,0.440232243718086,0.45471245030517,0.309261555094048,0.319873857599353,0.644161099618845,0.669676300381155,0.575531581541895,0.591357278458105,0.591348515468583,0.605966523962574,0.550416801417215,0.571040421233246,0.807108169703981,0.824214982296019,0.390654286811661,0.403483466164367,19.808929568305,20.355070431695
